first,second,name,owner,year
 서울 ,종로구,종로구 한강다목적운동장, 종로구 ,2013
 서울 ,중 구,"손기정체육공원
인조잔디축구장",중구 시설관리공단,2003
 서울 ,용산구,효창운동장,"체육시설
관리사업소",1960
 서울 ,용산구,"한강공원
이촌지구 축구장1",한강사업본부,1988
 서울 ,용산구,"한강공원
이촌지구 축구장2",한강사업본부,1991
 서울 ,용산구,"한강공원
이촌 축구교육장",한강사업본부,1997
 서울 ,성동구,"살곶이체육공원
축구장",성동구,미상
 서울 ,성동구,"중랑물재생센터
축구장",중랑물재생센터,2017
 서울 ,성동구,"뚝섬유수지 체육공원
축구장",성동구,2008
 서울 ,성동구,응봉축구장,성동구도시관리공단,2017
 서울 ,광진구,"어린이대공원
축구장","서울시
시설관리공단",2009
 서울 ,광진구,"아차산배수지체육공원
축구장",광진구,2007
 서울 ,광진구,"한강공원
뚝섬지구 축구장",한강사업본부,2009
 서울 ,중랑구,"중랑구립
잔디운동장","중랑구
시설관리공단",2002
 서울 ,중랑구,"용마폭포공원 
인조잔디 축구장","중랑구
시설관리공단",2007
 서울 ,중랑구,신내차량기지 축구장,"중랑구
시설관리공단",2017
 서울 ,성북구,월곡구민운동장,"성북구
도시관리공단",1993
 서울 ,성북구,월곡인조잔디축구장,"성북구
도시관리공단",2002
 서울 ,강북구,강북구민운동장,"강북구
도시관리공단",2000
 서울 ,도봉구,"초안산
인조잔디축구장",도봉구,2005
 서울 ,도봉구,다락원체육공원 축구장,"도봉구 
시설관리공단",2018
 서울 ,노원구,"마들근린공원
축구장","노원구
서비스공단",2008
 서울 ,노원구,"초안산근린공원
축구장","노원구
서비스공단","2001
(2007보수)"
 서울 ,노원구,"노해근린공원
축구장",노원구,1995
 서울 ,노원구,공릉배수지 축구장,"노원구
서비스공단",2009
 서울 ,은평구,은평구립축구장,"은평구
시설관리공단",2006
 서울 ,서대문구,"서대문구립
인조잔디 구장","서대문구
시설관리공단",2004
 서울 ,서대문구,서대문돌산 인조잔디구장,서대문구청,2013
 서울 ,마포구,"한강공원
망원지구 축구장",한강사업본부,1993
 서울 ,마포구,서울월드컵경기장,서울시설공단,2001
 서울 ,마포구,"서울월드컵경기장
보조경기장",서울시설공단,2001
 서울 ,마포구,"월드컵공원
인조잔디축구장",마포구,2005
 서울 ,"마포구
(고양인접)","난지물재생센터
축구장",난지물재생센터,2011
 서울 ,양천구,해누리 축구장,"양천구
시설관리공단",2013
 서울 ,양천구,해누리 축구장,"양천구
시설관리공단",2016
 서울 ,양천구,"안양천 A,B 축구장",양천구,1994~5
 서울 ,강서구,우장산 인조잔디구장,강서구,2006
 서울 ,강서구,"한강공원
강서지구 축구장",한강사업본부,2002
 서울 ,강서구,가양축구장,"강서구
시설관리공단",2015
 서울 ,강서구,강서 개화축구장,강서구,2010
 서울 ,강서구,서남물재생센터 축구장,(주)서남환경(민간위탁),2016
 서울 ,구로구,"고척근린공원
운동장",구로구,1989
 서울 ,구로구,안양천 A구장,구로구,1989
 서울 ,구로구,안양천 B구장,구로구,1989
 서울 ,구로구,안양천 C구장,구로구,2004
